Sl.no,U-DISE School Code,School Name
1,11010100101,NADAY PS
2,11010100102,MANUL SS
3,11010100103,NAGA JHS
4,11010100201,MEYONG PS
5,11010100401,PAKSHEP UPS
6,11010100601,SINGHIK SS
7,11010102003,RANGRANG UPS
8,11010102101,MANGAN SSS
9,11010102103,MALLING PS
10,11010102201,RINGHIM UPS
11,11010102301,NAMPATAM PS
12,11010102501,UPPER MANGSHILLA PS
13,11010102502,MANGSHILLA SSS
14,11010102601,LOWER MANGSHILLA PS
15,11010102602,THIBUK UPS
16,11010102701,NAMOK JHS
17,11010102801,SWAYEM UPS
18,11010104701,TINGCHIM SS
19,11010104702,RALAK UPS
20,11010200101,LACHEN SS
21,11010200103,CHATTEN PS
22,11010200201,LACHUNG SS
23,11010200205,BITCHU PS
24,11010200207,SARCHOCK JHS
25,11010200301,TASA TENGAY SEC. SCHOOL
26,11010200305,PEGONG PS
27,11010200306,BOP PS
28,11010200309,MUNSHITHANG PS
29,11010200311,SHIPGYER PS
30,11010201701,RAMOM PRIMARY SCHOOL
31,11010300101,GAIKHANA PS
32,11010300102,BAKCHA PS
33,11010300201,KALZANG GYATSO SSS
34,11010300301,LONGBOO PS
35,11010300501,LINGCHOM LPS
36,11010300701,TINGDA PS
37,11010300801,GAIREE PS
38,11010301401,LABI RANGDAM PS
39,11010301501,PHENSONG SS
40,11010301601,MEN RONGONG PS
41,11010301701,RARICK PS
42,11010301702,SHIPTHANG PS
43,11010301801,PHAMTAM JHS
44,11010301901,MOLOM PS
45,11010302101,CHAWANG PS
46,11010302302,TADONG PS
47,11010302303,PHODONG GUMPA PS
48,11010302701,RAMTHANG PS
49,11010302702,PHODONG SSS
50,11010302901,TANYEK PS
51,11010303101,TUMLONG UPS
52,11010400602,LINGTHEM UPS
53,11010400701,SANKALANG PS
54,11010400901,LINGDEM PS
55,11010401001,LAVEN PS
56,11010401101,LINGYA UPS
57,11010401301,SALIM PAKAL UPS
58,11010401701,PASSINGDANG SS
59,11010401703,4TH MILE PS
60,11010401801,TINGVONG SS
61,11010401901,NAMPRICK UPS
62,11010402001,LINGKOO PS
63,11010402501,PENTONG PS
64,11010402701,LINGDONG SS
65,11010402801,BARFOK PS
66,11010403001,MANZING PS
67,11010403101,GNON SAMDONG UPS
68,11010403201,GNON PS
69,11010403301,HEE GYATHANG SSS
70,11010403501,BRINGBONG PS
71,11010403801,GOR SS
72,11010403802,PHEEDANG PS
73,11010403804,LINGTYANG PS
74,11010403901,SANGTOK UPS
75,11010404101,LUM PS
76,11010404301,TARYANG PS
77,11020100201,PELLING SSS
78,11020100401,GYALSHING G SSS
79,11020100701,DARAP SSS
80,11020101101,LINGCHOM SS
81,11020101201,SAKYONG SS
82,11020101701,CHUMPONG JHS
83,11020102101,LANGANG SS
84,11020102201,LEGSHIP SSS
85,11020102501,SARDONG JHS
86,11020102601,RIMBIK SS
87,11020102901,MIDDLE GYALSHING SS
88,11020102902,MALBASEY PS
89,11020103001,TIKJEK PS
90,11020103401,TOYANG PS
91,11020103701,NAMBU PS
92,11020103901,SINGPHENG PS
93,11020104201,REYTHANG PS
94,11020104301,LOWER BHALUTHANG PS
95,11020104401,YANGTEY PS
96,11020104501,SALLEY PS
97,11020105001,OMCHUNG JHS
98,11020105101,UPPER BHALUTHANG PS
99,11020105601,RAMITEY PS
100,11020106801,BAYDONG PS
101,11020106901,KABIRTHANG PS
102,11020107001,KHORONG PS
103,11020107301,NAKU TADONG PS
104,11020107701,TIKJUK PS
105,11020108001,SANGKHOLA PS
106,11020108401,LUNZIK PS
