Sl.no,School Code,School Name
1,11040800403,CENTRAL POINT ACADEMY
2,11040802103,ESWARAMA SAI GURUKUL
3,11040802102,ETERNAL ENGLISH SCHOOL
4,11040800302,NEW GARDEN ENG SACHOOL (PVT)
5,11040801103,PADMA KUMARI PUBLIC
6,11040801102,SUNRISE SCHOOL (PVT)
7,11040800904,Chandra Kumari Chettri Memorial School
8,11040800903,DIVYA JYOTI SCHOOL (P)
9,11040800902,EDEN GARDEN SCHOOL (P)
10,11040800905,Hansraj Academy
11,11040800901,LITTLE BELLS (PVT)
12,11040801002,NEW HORIZON ACADEMY
13,11040800702,NEW VISION ACADEMY
14,11040802105,TINY TOTS SCHOOL (P)
15,11040300102,DE NOBILE ACADEMY (PVT)
16,11040300304,KHATEK PEMA CHOLING MONASTIC SCHOOL
17,11040301503,LITTLE ANGEL SCHOOL
18,11040300303,NEW VISION ACADEMY
19,11040300103,ST .PATRICK
20,11040300305,TENDER BUDS ACADEMY
21,11040304205,JUBILANT SCHOOL
22,11040303102,PADMA ODZER CHOLING
23,11040303902,TINY KIDS ACADEMY (PVT)
24,11040304207,TSUGLAGKHANG MONASTIC SCHOOL
25,11040302003,BAHAI SCHOOL
26,11040301002,DREAM LAND ACADEMY (PVT
27,11040302010,DREAMLAND ACADEMY
28,11040302007,GEN NEXT ACADEMY
29,11040302006,GOLDEN KIDS'
30,11040302012,GREEN DALE SSS
31,11040302202,HOLY CROSS (PVT)
32,11040302002,JOYBELLS (PVT)
33,11040302009,MICKEYS INTERNATIONAL SCHOOL
34,11040302005,MOUNT ZION KIDZEE
35,11040301010,MT.CARMEL ACADEMY
36,11040301008,PALDEN KHANGSAR SCHOOL
37,11040302004,ROCK VALE ACADEMY
38,11040302303,SAI GURUKUL ACADEMY
39,11040302011,SARASWATI VIDYA NIKETAN
40,11040301007,SA-VELLIE ROW
41,11040301004,SERNYA SCHOOL
42,11040301105,SYARI MODEL SCHOOL
43,11040302203,TINY PEARLS
44,11040302013,TOUCH WOOD ACADEMY
45,11040305504,ANNES HOUSE
46,11040300808,ANNES HOUSE NUSERY
47,11040300815,DAFFODILS' HOME
48,11040304204,HAPPY HOURS (PVT)
49,11040304206,INDRIA GHANDHI
50,11040300817,KIDDIES CORNER
51,11040300812,KYI-DE-KHANG SEC.SCHOOL
52,11040300805,LITTLE ANGELS ACADEMY
53,11040314901,MANJUSRI CITY (PUBLIC) SCHOOL
54,11040316001,MARIGOLD ACADEMY
55,11040315601,PALKHANG ACADEMY
56,11040302302,PRASHANT VIDYA MANDIR SS(PVT)
57,11040300907,ST. JOHN'S JHS SCHOOL
58,11040300810,ST. THOMAS SCHOOL
59,11040300816,WREN'S PUBLIC SCHOOL
60,11040305503,ENLIGHTEN ACADEMY
61,11040305702,KIDS WORLD (PVT)
62,11040305802,MAYAL ENG SCHOOL (PVT)
63,11040305502,NORTH POINT SCHOOL
64,11040305805,PARADISE ACADEMY
65,11040305804,RAINDOW PRY (PVT)
66,11040305706,TAKTSE INTERNATIONAL SCHOOL
67,11040603202,ANSHU ACADEMY
68,11040604802,BETHESDA ACADEMY (PVT)
69,11040604502,BRIGHT LIFE ACADEMY
70,11040604902,GREEN FILED ACADEMY (PVT)
71,11040603102,ST. THOMAS SCHOOL
72,11040601604,ADARSH VIDHYA MANDIR
73,11040602608,ARCHIGOS PREPARATORY ACADEMY
74,11040601102,BAPTIST ENG . SCHOOL (PVT)
75,11040602001,EAST POINT SS (PVT)
76,11040601402,GOD WIN ENG SCHOOL (PVT)
77,11040603801,KING GEORGE ACADEMY
78,11040602604,NEW GARDEN BDG. SCHOOL
79,11040601103,NIM VALLEY SCHOOL
80,11040602602,P.NM SCHOOL (PVT)
81,11040602605,RADIANT STARS ACADEMY
82,11040601202,REHMA ENGLISH SCHOOL
83,11040602607,SIGALILA ACADEMY
84,11040602502,TRUE LIGHT ACADEMY
85,11041000803,"BAHA'I SCHOOL, SARAMSA"
86,11041000802,CANAAN SCHOOL
87,11041000808,HIMALAYAN ACADEMY
88,11041000801,INDRAKIL SARASWATI VIDHALAYA
89,11041000805,SARASWATI VIDYA NIKETAN
90,11041000103,SUNMARG ACADEMY
91,11041000806,TINY PEARLS SCHOOL
92,11041002001,CHILDRENS WORLD ACADEMY (PVT
93,11041002002,MINI LAND PUBLIC SCHOOL
94,11041002101,ST. JOSHEP SS
95,11040100105,LITTLE ANGEL ENGLISH SCHOOL
96,11040103302,LITTLE ANGEL SCHOOL
97,11040100103,SARASWATI SISHU VIDYALAYA
98,11040100802,ST JOHN ENGLISH SCHOOL
99,11040102508,ANNIE'S HOME
100,11040102509,CANARY BIRD ACADEMY
101,11040102504,PUSHPANJALI VIDHALAYA
102,11040100702,SAI GURUKUL ACADEMY
103,11040100202,SARASWATI VIDYA NIKETAN
104,11040102903,SPLENDOUR ACADEMY
105,11040102503,ST. XAVIER (PVT)
106,11040100402,ST.STEVEN'S SCHOOL
107,11040100403,VENUS ACADEMY
108,11040100902,WISDOM LAKE
109,11040101403,HANSAVAHINI SISHU MANDIR AMBA
110,11040101002,PHUSPANJALI VIDHALAYA
111,11040100302,VENUS ACADEMY
112,11041100104,GREEN VALE ACADEMY
113,11041100202,Rainbow Academy
114,11041100502,Bethal Pvt. School
115,11040701902,CHILDREN PREPARATORY (PVT
116,11040700804,RISING STAR (PVT)
117,11040700602,SPRINGDALE SCHOOL (PVT)
118,11040700802,SUNRISE BOARDING SCHOOL (PVT)
119,11040700604,TISTA MODEL ACADEMY
120,11040700204,DIAMOND ENG SCHOOL (PVT)
121,11040700404,ENGLIGHTENED ACADEMY
122,11040700302,GYAN KUNJA (PVT)
123,11040700403,SARASWATI VIDYA NIKETAN
124,11040701404,SARASWATI VIDYA NIKETAN
125,11040900803,AMBIKA DAHAL MEM. SCHOOL (PVT)
126,11040901203,GRACE ACADEMY
127,11040901601,INDIRA MEMORIAL ACADEMY
128,11040901202,NAV YUG PUBLIC SCHOOL
129,11040901102,STAR LIGHT ACADEMY
130,11040900105,BLOOSOM (PVT)
131,11040900110,KARMA DHARMA CHAKRA UPS
132,11040902001,MAYAL KATEN NAMGYALLING ACADEMY SCHOOL
133,11040900106,PIONEER PREPARATORY SCHOOL
134,11040400107,DOLPHIN ACADEMY
135,11040400104,GREAT HEIGHT ACADEMY
136,11040401502,RAINBOW ACADEMY (PVT)
137,11040400108,ST MARY SCHOOL
138,11040400602,RISING NURSERY ACADEMY (PVT)
139,11040400605,SARASWATI SISHU VIDYALA
140,11040404004,SARASWATI VIDYA NIKETAN
141,11040404005,ST JOSEPH SCHOOL
142,11040401002,BOSKO ENG SCHOOL (PVT)
143,11040400205,GOOD STAR ENG SCHOOL
144,11040401803,PEMA TSEL ACADEMY
145,11040400204,SARASWATI SISHU MANDIR
146,11040402202,LITTLE STARS ACADEMY
147,11040400209,RIVERINE ELEMENTRY SCHOOL
148,11040400203,SUNRISE MODEL
149,11040400208,VIDYA BHARATI SCHOOL
150,11040506802,BAHAI SCHOOL (PVT)
151,11040500803,BLOOMING BUDS ACADEMY
152,11040501303,EVERSHINE ACADEMY
153,11040500104,DONALD MEMORIAL ACADEMY (PVT
154,11040500302,SEVENTH-DAY ADVANTIST MISSION SCHOOL
155,11010200303,MOON LIGHT SCHOOL
156,11010200304,MT. EVEREST SCHOOL
157,11010300202,GREENVALE ACADEMY
158,11010300203,KANCHANJUNGA ACADEMY
159,11010301001,NORTHWAY ACADEMY
160,11010302501,JUBILANT PVT SCHOOL
