Sl.no,School Code,School Name,Strength
1,11040800403,CENTRAL POINT ACADEMY,4614
2,11040802103,ESWARAMA SAI GURUKUL,4367
3,11040802102,ETERNAL ENGLISH SCHOOL,4046
4,11040800302,NEW GARDEN ENG SACHOOL (PVT),4954
5,11040801103,PADMA KUMARI PUBLIC,4563
6,11040801102,SUNRISE SCHOOL (PVT),4649
7,11040800904,Chandra Kumari Chettri Memorial School,4360
8,11040800903,DIVYA JYOTI SCHOOL (P),4173
9,11040800902,EDEN GARDEN SCHOOL (P),4809
10,11040800905,Hansraj Academy,4680
11,11040800901,LITTLE BELLS (PVT),4954
12,11040801002,NEW HORIZON ACADEMY,4588
13,11040800702,NEW VISION ACADEMY,4100
14,11040802105,TINY TOTS SCHOOL (P),4497
15,11040300102,DE NOBILE ACADEMY (PVT),4560
16,11040300304,KHATEK PEMA CHOLING MONASTIC SCHOOL,4466
17,11040301503,LITTLE ANGEL SCHOOL,4063
18,11040300303,NEW VISION ACADEMY,4492
19,11040300103,ST .PATRICK,4511
20,11040300305,TENDER BUDS ACADEMY,4571
21,11040304205,JUBILANT SCHOOL,4776
22,11040303102,PADMA ODZER CHOLING,4854
23,11040303902,TINY KIDS ACADEMY (PVT),4731
24,11040304207,TSUGLAGKHANG MONASTIC SCHOOL,4822
25,11040302003,BAHAI SCHOOL,4692
26,11040301002,DREAM LAND ACADEMY (PVT,4436
27,11040302010,DREAMLAND ACADEMY,4992
28,11040302007,GEN NEXT ACADEMY,4402
29,11040302006,GOLDEN KIDS',4148
30,11040302012,GREEN DALE SSS,4652
31,11040302202,HOLY CROSS (PVT),4960
32,11040302002,JOYBELLS (PVT),4878
33,11040302009,MICKEYS INTERNATIONAL SCHOOL,4462
34,11040302005,MOUNT ZION KIDZEE,4143
35,11040301010,MT.CARMEL ACADEMY,4453
36,11040301008,PALDEN KHANGSAR SCHOOL,4936
37,11040302004,ROCK VALE ACADEMY,4680
38,11040302303,SAI GURUKUL ACADEMY,4159
39,11040302011,SARASWATI VIDYA NIKETAN,4912
40,11040301007,SA-VELLIE ROW,4482
41,11040301004,SERNYA SCHOOL,4668
42,11040301105,SYARI MODEL SCHOOL,4229
43,11040302203,TINY PEARLS,4165
