Sr. No.,KV Name,Principal Name,Email Address,Website,State,District
1,KENDRIYA VIDYALAYA IIT BHUBANESWAR,Laxmidhar Duari,principalkviitbbsr@gmail.com,,Odisha,Odisha
2,KENDRIYA VIDYALAYA MCL SUBHADRA AREA,Deepesh Kumar Barik,ppl.mclsubhadra@kvs.gov.in,,Odisha,Angul
3,KENDRIYA VIDYALAYA MCL JAGANNATH AREA,Gaurahari Nayar,ppl.mcljagannath@kvs.gov.in,,Odisha,Angul
4,KENDRIYA VIDYALAYA BSF GOKULNAGAR,Sanjay Jaiswal,ppl.gokulnagar@kvs.gov.in,https://bsfgokulnagar.kvs.ac.in/,West Bengal,Cooch Behar
5,KENDRIYA VIDYALAYA CRPF KADARPUR,Mrs. Bharti Kumari,kvkadarpur@gmail.com,https://crpfkadarpur.kvs.ac.in/,Haryana,Kadarpur
6,KENDRIYA VIDYALAYA NO.III AMBALA CANTT.,Post Vacant,Kv3ambalacantt@gmail.com,https://no3ambalacantt.kvs.ac.in/,Haryana,Ambala
7,KENDRIYA VIDYALAYA NHPC DALHOUSIE CANTT BANIKHET,SANJAY KUMAR,ppl.banikhet@kvs.gov.in,http://banikhet.kvs.gov.in/,Himachal Pradesh,Chamba
8,KENDRIYA VIDYALAYA SADALAGA,Sh. Bandge Sharanappa G,ppl.sadalaga@kvs.gov.in,https://sadalaga.kvs.ac.in/,Karnataka,Karnataka
9,KENDRIYA VIDYALAYA VIRUDUNAGAR,Shri .S.LAKSHMI NARAYANAN,ppl.virudunagar@kvs.gov.in,https://virudunagar.kvs.ac.in/,Tamil Nadu,Ramanathapuram
10,KENDRIYA VIDYALAYA IDAYAPATTI,VACANT,ppl.pidayapatti@kvs.gov.in,https://idayapatti.kvs.ac.in/,Tamil Nadu,Tamil Nadu
11,KENDRIYA VIDYALAYA KARAIKAL,Shri. Natesan Alagendhi,ppl.karaikal@kvs.gov.in,https://karaikal.kvs.ac.in/,Pondicherry,Puducherry
12,KENDRIYA VIDYALAYA NO.I HINDON,Mrs Shobha Sharma,ppl.hindonno1afs@kvs.gov.in,https://no1hindon.kvs.ac.in,Uttar Pradesh,Agra
13,KENDRIYA VIDYALAYA ABOHAR,"Mr. Ami Swami, VP & I/C PPL",ppl.abohar@kvs.gov.in,https://abohar.kvs.ac.in/,Punjab,Fazilka
14,KENDRIYA VIDYALAYA CHATRAPUR,RAJESH KUMAR GUPTA (I/C),ppl.chatrapur@kvs.gov.in,https://chatrapur.kvs.ac.in/,Odisha,Ganjam
15,KENDRIYA VIDYALAYA HAYULIANG ANJAW,"DR. U S PANDEY, I/C PRINCIPAL",ppl.hauliang@kvs.gov.in,https://hayuliang.kvs.ac.in/,Arunachal Pradesh,Arunachal Pradesh
16,KENDRIYA VIDYALAYA ITBP ILLUPPAIKUDI SIVAGANGAI,VACANT,ppl.shivgangai@kvs.gov.in,https://itbpsivagangai.kvs.ac.in/,Tamil Nadu,Sivaganga
