Sl.no,School Code,School Name
1,11020701301,CHEWRIBOTEY PS
2,11020701401,HEE MAJHGOAN PS
3,11020700901,MEYYONG PS
4,11020701101,PECHREAK PS
5,11020701501,RUNGDU PS
6,11020701001,SAGBARI PS
7,11020701201,UPPER MARTAM PS
8,11020700801,BERMIOK DARAGOAN JHS
9,11020700501,CENTRAL MARTAM JHS
10,11020700301,CHINGTHANG JHS
11,11020700701,HEE PATAL JHS
12,11020700401,LOWER BERMIOK JHS
13,11020700601,NAJOR BERFOK JHS
14,11020700101,BERMIOK MARTAM SS
15,11020700201,YANGSUM SS
1,11020501001,AMBOTEY PS
2,11020502201,RINGYANG PS
3,11020501501,SALANGDANG PS
4,11020501801,BHARENG PS
5,11020501301,LOWER OKHREY PS
6,11020501201,PEURAYTAR PS
7,11020500901,SAPREYNAGI PS
8,11020501601,ANDEN PS
9,11020500801,BEYONG PS
10,11020501901,LOWER RUMBUK PS
11,11020500204,LOWER TIKPUR PS
12,11020501101,MOONEWGOAN PS
13,11020502101,NASA PS
14,11020501701,SIKTAM PS
15,11020501401,TAREYBHIR PS
16,11020500701,LUNGYAM JHS
17,11020500601,RUMBUK JHS
18,11020500101,KRIPASALYAN SSS DARAMDIN
19,11020500201,SOMBARIA SSS
20,11020502301,LUNGCHOK SS
21,11020500301,OKHREY SS
22,11020500401,RIBDI SS
23,11020500501,TIKPUR SS
1,11020402201,CHANGEY PS
2,11020402901,L SAPONG PS
3,11020401001,LIDUNG PS
4,11020400603,MIDDLE BEGHA PS
5,11020401801,SAPONG PS
6,11020402701,SOMBUSTY PS
7,11020400702,SRINAGI PS
8,11020403301,HEE KENGBARI PS
9,11020403701,HEE SAPUNG PS
10,11020404001,HEE TAMABONG PS
11,11020401601,BHALUKHOP PS
12,11020402002,LOWER RADHU PS
13,11020402801,LOWER SHANKU PS
14,11020401301,SANKHU PS
15,11020401501,BULLUNG PS
16,11020401901,JHAKRIDHUNGA PS
17,11020402301,KONABAR PS
18,11020402401,SEPI PS
19,11020402601,SIMPHOK PS
20,11020400601,BEGHA JHS
21,11020402101,DENTAM TAR JHS
22,11020401201,GITANG JHS
23,11020402001,RADHU JHS
24,11020401701,AGRI NAYA BUSTY JHS
25,11020402501,BURUL SINGTAM JHS
26,11020401101,MILLING JHS
27,11020401401,SIMBOLEY JHS
28,11020400201,DENTAM SSS
29,11020400101,HEE-YANGTHANG SSS
30,11020400701,BONGTEN SS
31,11020400401,KHANDU SS
32,11020400801,MUKRUNG SS
33,11020400901,SOPAKHA SS
34,11020400501,UTTERAY SS
1,11020103701,NAMBU PS
2,11020108001,SANGKHOLA PS
3,11020103901,SINGPHENG PS
4,11020106801,BAYDONG PS
5,11020106901,KABIRTHANG PS
6,11020102902,MALBASEY PS
7,11020104201,REYTHANG PS
8,11020103001,TIKJEK PS
9,11020107701,TIKJUK PS
10,11020103401,TOYANG PS
11,11020110601,CHONGZONG PS
12,11020108401,LUNZIK PS
13,11020104501,SALLEY PS
14,11020107001,KHORONG PS
15,11020107301,NAKU TADONG PS
16,11020109701,SINDRANG PS
17,11020112901,SINGYANG PS
18,11020104301,LOWER BHALUTHANG PS
19,11020105601,RAMITEY PS
20,11020105101,UPPER BHALUTHANG PS
21,11020104401,YANGTEY PS
22,11020105001,OMCHUNG JHS
23,11020101701,CHUMPONG JHS
24,11020102501,SARDONG JHS
25,11020100701,DARAP SSS
26,11020100401,GYALSHING G SSS
27,11020102201,LEGSHIP SSS
28,11020100201,PELLING SSS
29,11020102601,RIMBIK SS
30,11020102101,LANGANG SS
31,11020102901,MIDDLE GYALSHING SS
32,11020101101,LINGCHOM SS
33,11020101201,SAKYONG SS
1,11020301601,LOWER HATTIDHUNGA PS
2,11020302401,LOWER SANGADORJEE PS
3,11020301801,NAMGAON PS
4,11020302001,NIJGOAN PS
5,11020302101,TAFEL PS
6,11020302801,BOOM RINCHENPONG PS
7,11020302301,JAUBARI PS
8,11020303101,LOWER KARTHOK PS
9,11020301501,LOWER TADONG PS
10,11020301701,BHANJYANGDARA PS
11,11020302502,LOWER PARENGOAN PS
12,11020303401,M. TAKUTHANG PS
13,11020302501,PARENGOAN PS
14,11020303201,BUKSOM PS
15,11020302201,DHANKUTAY PS
16,11020300501,RAMIDHAM PS
17,11020301101,ZEEL JHS
18,11020301401,BOOM RESHI JHS
19,11020300901,RINCHENPONG JHS
20,11020301301,JHUSINGTHANG JHS
21,11020302701,UPPER CHUCHEN JHS
22,11020300601,DEYTHANG JHS
23,11020301001,SAMDONG JHS
